node_i,node_j
102,104
102,116
102,115
103,118
104,108
104,114
104,115
106,118
106,108
106,114
106,116
106,117
106,110
108,116
108,114
108,113
108,118
108,115
110,117
114,118
114,115
114,117
114,116
115,116
115,118
116,118
