id,facebook_id,page_name,page_type
321,325227794269092,"Rachael Harder, MP",politician
322,252750638220197,Robert von Olberg,politician
332,398675146900419,José Luis Gioja,politician
334,144032345752517,Jürgen Coße,politician
342,148900938515423,Sofie Carsten Nielsen,politician
353,174876119204869,Martín Insaurralde,politician
360,179326165451798,Cristina Cifuentes,politician
361,1694841994085399,Dominique Anglade,politician
362,1639000493065240,Dr. Jens Katzek,politician
364,20597769245,Loïc Hervé,politician
365,144178562335775,Betinho Gomes,politician
369,643840382338092,Axel Schäfer,politician
372,155250601296949,Jesper Würtzen,politician
389,487136531338769,State Representative Nicole Collier,politician
398,371863612949631,"Representative Ramon Romero, Jr.",politician
403,60265923724,Jean D'Amour,politician
412,350005778449581,Gabi Weber,politician
413,1454152968176814,Figen Yüksekdağ,politician
417,24352982198,Ida Auken,politician
422,245945852526795,Andrew J. Ullmann,politician
427,136836306502867,Amran Hussain,politician
435,1736092590015714,Daniela Kluckert,politician
438,547447862002921,Tancredi Turco,politician
442,518861108151536,Klaus Wolframm,politician
443,361825830503669,Priscila Krause,politician
444,1542844622636278,Mayor Matt Burnett,politician
445,410437495817471,Manfred Weber,politician
447,173517072696584,George P. Bush,politician
448,1457854404494601,Hervé Gaymard,politician
453,10453255451,Henry McMaster,politician
456,336333819807014,פנינה תמנו- שטה,politician
457,151092200743,James Lankford,politician
459,385828341548336,Amber Rudd MP,politician
460,377875712247089,Thomas Kastrup-Larsen,politician
466,448309798634823,Senator Gabrielle McFadden,politician
468,162159877162316,Bhagwant Mann,politician
469,19437978960,Chris Murphy,politician
470,388090517914968,Anne McTaggart for Glasgow,politician
476,116022908518631,Justyne Caruana,politician
479,127980693947760,Senadora Lúcia Vânia,politician
485,2167628580128133,ირაკლი კობახიძე / Irakli Kobakhidze,politician
488,381608425227664,Andre,politician
491,326547101058452,Reinhard Brandl,politician
492,1586251881644270,Keir Starmer,politician
494,299147070277017,Michael Müller,politician
502,389665107805619,Michael Aastrup Jensen,politician
510,1466035070293582,Alex Hawke MP,politician
511,128466880497110,Danuta Jazłowiecka,politician
515,568027523319274,Dame Caroline Spelman MP,politician
518,86704161022,Klaus Ernst,politician
523,182554285114879,Shafi Parambil,politician
527,127567737259528,Barbara L'Italien,politician
528,222765385226,Dr. Sascha Raabe,politician
532,1435674296649243,Emmanuelle Cosse,politician
535,123316887684644,Marine Le Pen,politician
538,73676817966,Danny O'Donnell,politician
541,641842819171898,Akhilesh Yadav,politician
542,824740377593403,Oliver Dowden,politician
543,291524437542463,נחמן שי - Nachman Shai,politician
549,253241831523931,Емил Димитриев,politician
552,115487945197152,Janine Freeman,politician
553,155001591234832,Silke Gebel,politician
554,10128918116,Gavin Newsom,politician
556,852770481440368,Leif Mikkelsen,politician
557,128401833854581,Nagy József,politician
562,97640646271,Steven MacKinnon,politician
564,677465509070469,Herbert Mertin,politician
575,360795670176,Clémentine Autain,politician
577,1419354464978596,Giovanni Toti,politician
581,365088703514291,Dario Parrini,politician
583,269475816560244,Markus Paschke,politician
588,130727956973250,Anna Krupka,politician
589,756473267816137,Niky Cantard,politician
593,318814151575251,Filippo Gallinella,politician
594,291482090931929,Professora Dorinha,politician
600,475865579194090,Marcus Held,politician
601,391477497562861,Danilo Forte,politician
606,776784779020038,Kelvin Davis,politician
609,491007197579019,Carlos Brandão,politician
616,625827774138145,Juan Fernández SN,politician
617,1022409794455334,Martin Docherty-Hughes MP,politician
619,14814041735,Henri Guaino,politician
621,56158390063,Phil Berger,politician
631,1456571404584774,Bernie Finn MP,politician
632,1559421730752327,Boris Pistorius,politician
639,205370176309085,蘇浩 Anthony So,politician
643,194123260626794,Pierfrancesco Majorino,politician
645,10795878252,Leung Kwok Hung,politician
647,302901263140722,Vanessa Grazziotin,politician
651,241673509341052,Alexis Tsipras Intl,politician
656,246956825315208,Monica Cirinnà,politician
658,834645469890446,Devin Nunes,politician
671,112718776235,Jana Černochová,politician
677,101663899912118,Senator Roger Chamberlain,politician
689,532219183564760,Stanislav Polčák,politician
690,195047610583003,MEP Josef Weidenholzer,politician
696,992768107415537,Kelly Tolhurst,politician
702,6229329915,Rodger Cuzner,politician
704,474257199269888,André Fufuca,politician
707,126832770746378,Councillor Josh Turiel,politician
712,1518163425167380,Scott McConnell MLA: Member for Stuart,politician
713,689299061082133,Ruedi Noser,politician
714,193902650722326,Trevor Mallard MP,politician
716,510291985696801,Daniela Holzinger-Vogtenhuber,politician
719,134443820058669,Zbyněk Stanjura,politician
720,216347025147950,Mechthild Heil,politician
721,744295609010223,Murray Thompson MP,politician
722,221380238051378,Greg Fergus,politician
731,142338164826,Rafael Anchía,politician
738,447217575331947,Martin Lidegaard,politician
743,223278371178615,Paul Rübig,politician
760,23121234096,Valérie Pécresse,politician
762,266710610020532,Rose de Freitas,politician
765,239582775483,Martín Orozco,politician
768,458414454235458,李進勇,politician
775,127064724499,Hans Niessl,politician
788,126237887463809,Aron Modig,politician
791,496456917125387,Andrew Wall MLA,politician
800,385459414829351,看見幸福 呂玉玲,politician
801,1032353066780968,Catherine McKinnell,politician
802,747581655288114,Mathias Cormann,politician
806,914278258641216,Anders Ygeman,politician
811,557758877731148,Anne Stanley MP,politician
812,827021447354082,Edgar Chagwa Lungu,politician
815,253394161502544,Harold LeBel,politician
817,555803774486872,Marcio Bittar,politician
819,340393855322,Van Taylor,politician
827,597999373584748,魏明谷,politician
831,147409458760059,Gisela Manderla,politician
832,314948241983872,Christel Voßbeck-Kayser,politician
835,15483865491,Al Franken,politician
836,333059800238486,Juan Manuel Carreras López,politician
837,669637636393367,Marina Sant'Anna,politician
842,358186748320,Martin Brandl MdL,politician
845,377947178928550,Maik Beermann,politician
847,909073229154734,Stewart Jackson,politician
848,318316484889013,Mayor Paul Antonio,politician
855,832972046731724,Λευτέρης Χριστοφόρου - Lefteris Christoforou,politician
856,1413222358940007,Politiker Claus Kvist Hansen,politician
860,189701787748828,Captain Amarinder Singh,politician
869,594536550631925,Manfred Juraczka,politician
870,194713160185,Sajith Premadasa,politician
873,252520351444054,Morten Østergaard,politician
875,1407244726241803,Oliver Kehrl,politician
877,650655681612302,Sharren Haskel שרן השכל,politician
879,311126315707480,Zac Goldsmith,politician
880,260666527451668,Tania González Peñas,politician
883,697004213668375,Deputado Federal Cabo Sabino,politician
885,686548441500195,Dietmar Panske,politician
886,325269090863652,郭國文,politician
888,294245294017078,Florian Graf,politician
890,161648040544835,יצחק (בוז'י) הרצוג - Isaac Herzog,politician
894,1398771987010666,Juan Pablo Arenaza,politician
895,632328833469006,Deputado Júlio Cesar,politician
903,261925857331811,Telmário Mota,politician
907,113707256426,Rachel Notley,politician
908,517350781618795,Tom Koenigs,politician
920,133784693312143,Arthur Spring,politician
925,297462837021345,Steffen Kampeter,politician
929,134657143212726,Jeff Brandes,politician
930,39832652472,"Len Webber, MP",politician
932,611301119036095,Vittorio Medioli,politician
936,130830350289607,Winfried Kretschmann,politician
938,492869400726219,Lael Varella,politician
945,216342268645,Tony Abbott,politician
947,358951317539562,Katherine Clark,politician
954,1571383793093377,Mark McArdle MP,politician
955,608651842489093,Hansjörg Durz,politician
956,832937943501576,Florian Braun,politician
960,554297734597392,Ignazio Corrao,politician
964,216032968483959,Valdir Colatto,politician
968,46239976233,Ulrike Lunacek,politician
974,77372853052,Walter Ceballos,politician
978,434923669883731,Александар Вучић,politician
979,305836372921172,Arantxa Tapia,politician
988,191139280918531,"Annette Karl, MdL",politician
989,1598476677090152,Ovidiu Raeţchi,politician
993,1418903245032313,Marijana Petir,politician
994,106040332771025,Hasip Kaplan,politician
1006,355926421408659,Sylvia Stierstorfer,politician
1008,699619700116377,Sophie Løhde,politician
1010,228120027204515,José Manuel De la Sota,politician
1013,737528979655597,Juliette Méadel,politician
1015,369808499805109,Melanie Huml,politician
1016,1397124463856566,Ibrahim Taguri,politician
1020,403082286402502,吳益政－理想城市高雄市,politician
1021,458835437554634,Uwe Kirschstein,politician
1032,399718590123009,Alan Abela-Wadge,politician
1035,7921863687,Mary Fallin,politician
1037,18050788524,Rona Ambrose,politician
1039,30817324060,Amir Khadir,politician
1055,225880297592674,Sebastiano Barbanti,politician
1058,297448840301655,Raymundo Martínez Carbajal,politician
1060,95016717403,Richard Bruton TD,politician
1061,556389197810785,Maria Caulfield MP,politician
1062,1057779890981986,Martin Diedenhofen,politician
1075,1546433252297862,Karina Adsbøl,politician
1076,319937918143623,Christian Porter,politician
1077,197422950452361,David de Burgh Graham,politician
1088,289160704429225,Deputado Vinícius Gurgel,politician
1089,1434662870122672,Leona Alleslev,politician
1090,1232732846774130,Arndt Kohn,politician
1109,124485667654878,Kakha Kaladze კახა კალაძე,politician
1110,194527183899874,Lim Biow Chuan,politician
1111,436674909834472,Sébastien Proulx,politician
1117,385575734873331,Jeff Smith MP,politician
1120,1621835121361449,陳超明-阿明哥粉絲團,politician
1121,163394517142776,Elie Aboud,politician
1122,579176352189689,Gilles Lebreton,politician
1127,444872249052425,Stefan Schwartze,politician
1130,205725942877455,Asad Umar,politician
1132,188677361503511,Mike Mohring,politician
1135,521244381285660,Ivana Simeoni - Portavoce al Senato,politician
1136,113408402197794,段宜康,politician
1138,200066141478,Giuseppe Castiglione,politician
1142,125846717599036,Matt Taylor,politician
1149,488015114593128,Robert Goguen,politician
1150,706909146058066,Mette Bock,politician
1151,10065481044,Enrico Letta,politician
1153,312862592077144,Franz Josef Pschierer,politician
1154,225968424123597,Carlos Floriano Corrales,politician
1164,134735138166,Shashi Tharoor,politician
1165,349925051862391,Senador Raimundo Lira,politician
1168,189391731098176,葉宜津,politician
1171,204981602946440,Emma Reynolds,politician
1180,480475492126118,Marcio Lacerda,politician
1181,491146254290346,Vilma Moronese Cittadina Senatrice M5S,politician
1186,407412306018889,Mara Mucci,politician
1188,485369011572153,Max Schirmer,politician
1193,961140957253060,Marc Serré,politician
1199,179828222070223,登真-邱議瑩,politician
1202,102325620186,Willy Borsus,politician
1203,268327718364,台灣阿童─童仲彥,politician
1208,104839259557352,Alain Mathot,politician
1219,362437290495506,Cornel Popa,politician
1223,368683026622877,David Burrowes,politician
1224,591089474361265,Franziska Giffey,politician
1226,8380091948,Pat McCrory,politician
1228,496696933682736,Jeff Merkley,politician
1229,137339409618867,Antonio Miloshoski,politician
1234,181426758553161,Randall Garrison,politician
1236,106156512841294,Iara Bernardi,politician
1238,570019879784017,Petr Dolínek,politician
1252,527615517396604,Jeff Collins MLA: Member for Fong Lim,politician
1257,1722841861328522,Nick Serianni - Libertarian,politician
1261,1478307075722907,Nathan Barrett - Community Solutions,politician
1266,141528252550824,Andrew RT Davies,politician
1267,306664909442738,Bettina Müller,politician
1270,271075406319289,Alessandro Molon,politician
1275,285567581556423,"Hon. Candice Bergen, MP",politician
1280,386537564854222,Tom Tugendhat,politician
1285,77067914982,Dr. Gesine Lötzsch,politician
1287,615581971844840,Rafael González Tovar,politician
1293,9124187907,U.S. Senator Bernie Sanders,politician
1299,733228860051219,Chansey Paech MLA : Member for Namatjira,politician
1303,119797954711330,Marianne Thyssen,politician
1304,76714151717,Xavier Bettel,politician
1312,555714517864252,Rosie Winterton MP,politician
1318,1442400742660069,Ulla Tørnæs,politician
1319,423722634317667,Scott Buchholz,politician
1320,868640886531043,Nicolas Martin,politician
1326,833522900042388,Barbara Keeley,politician
1338,1697280860491666,Hunter Tootoo,politician
1341,6596078916,Joe Courtney for Congress,politician
1342,253355901456286,Angelika Mlinar,politician
1343,381853468555706,Svandís Svavarsdóttir,politician
1344,519513704828833,Lucy Frazer,politician
1348,444374352269231,"Craig Young, Mayor 2013/14",politician
1350,327862874003443,Anja Karliczek,politician
1356,389662761226174,Andrés González Díaz,politician
1357,456712937738176,Laura Castelli,politician
1359,272460762896374,Reinhold Lopatka,politician
1363,217394141743074,Michael Bernhard,politician
1371,321010964762603,Patricia Gibson MP,politician
1376,1488613231431671,Helin Evrim Sommer,politician
1377,166020776792056,Tanya Plibersek,politician
1382,126959577337867,Senator Bill DeSteph,politician
1386,1484785115074579,Shobha Karandlaje,politician
1396,1390777187831847,Joan McAlpine,politician
1401,321917701263424,Daniela Donno,politician
1408,313852760141,Marcos Peña,politician
1411,896624643805266,Christian Hartmann,politician
1413,273960282624086,Emanuele Fiano,politician
1416,194243072092,Lisa Nandy,politician
1420,539267906164443,Alexandre Serfiotis,politician
1422,216201835188330,Vicente Cândido,politician
1425,18110615670,Renato Brunetta,politician
1427,463813337026688,Leanne Wood,politician
1435,1402588426670226,Juanma Moreno,politician
1438,68315058328,Ravi Shankar Prasad,politician
1439,411352612274884,Kristy Debono,politician
1440,17434022043,George A. Papandreou,politician
1443,1429436547338406,Senator Chris Ketter,politician
1448,105097609547951,Paul Pinsky,politician
1459,1606725526229201,Johannes Steiniger,politician
1461,176318469116118,"William Owen-Jones Division 2, Gold Coast",politician
1464,130955346972893,Jacek Protas,politician
1467,827859830575330,Eva Maydell (Paunova),politician
1470,251898414895342,Ronaldo Zulke,politician
1480,474673532571909,Jacqui Dean MP,politician
1481,245990448763142,Steve Brine MP,politician
1483,202997363052812,Marjolaine Boutin-Sweet,politician
1488,272107646161182,Mian Shehbaz Sharif,politician
1490,930279797064412,Gérard Larcher,politician
1492,118816204795273,Sir Mike Penning,politician
1493,109479742783542,"Mel Arnold, MP",politician
1499,70036951368,Massimo Zedda,politician
1509,628391733956960,Mhairi Black MP,politician
1510,1461682387423585,Victor Mendes,politician
1524,587995127878028,Brigitta Pallauf,politician
1525,1422422938030477,Nick Josefowitz,politician
1526,101704930169236,Rep. Jeff Bridges,politician
1527,587835028017559,Eric Holcomb,politician
1532,650422178353571,Trish Doyle MP,politician
1540,261664447205821,Gültan Kışanak,politician
1542,315850548515268,Gabriele Katzmarek,politician
1543,185083384893893,黃浩銘 Raphael Wong,politician
1548,470750479716818,Lutz Lienenkämper MdL,politician
1555,815273991868910,"Joanna Cherry QC MP, Member of Parliament for Edinburgh South West",politician
1556,1526982304272883,Daniel Sieveke MdL,politician
1559,326366925310,André Santini,politician
1561,1811517679137960,Markus Dürr,politician
1565,1797023703896597,Christian Dürr,politician
1569,374368637467,Danny Alexander,politician
1572,193272380789282,Bob Goodlatte,politician
1575,785934468125228,Andrew Atkinson,politician
1579,437061983081013,Ryan Zinke,politician
1582,124687590953528,Fernando Pimentel,politician
1587,60514570824,Justine Greening,politician
1590,373345256123833,George Stathakis,politician
1592,110676805620326,Lorena Martínez,politician
1593,260603653970023,Mikheil Saakashvili,politician
1597,306796832807017,Carlos Coelho,politician
1598,106360396059258,Naheed Nenshi,politician
1601,420783138083459,Cora van Nieuwenhuizen,politician
1602,816102231813569,Chris Gambian,politician
1604,1155718097801871,Marco A. Mena,politician
1612,202474916483746,Michael Dietmann,politician
1616,602811439846056,Carol Monaghan - MP for Glasgow North West,politician
1621,232363686957754,Alexander Kulitz,politician
1624,236254476579304,Enrique Vargas Del V.,politician
1627,141696382669514,Claudio Avruj,politician
1632,695325067186897,Zeca Cavalcanti,politician
1635,308836329263831,Mark Kirk,politician
1643,922605937824501,Guillermo Medrano,politician
1646,1499977583563517,Jytte Guteland,politician
1651,166156570202888,עיסאוי פריג',politician
1653,118598124966673,Katharina Schulze,politician
1656,20647428344,Elizabeth May,politician
1661,213910975288105,Deputado Federal Genecias Noronha,politician
1664,1524251411157808,Ronnie Cowan MP,politician
1668,148744515162938,Kellie Leitch,politician
1669,44689933935,Nessa Childers MEP,politician
1670,105044319540032,Yingluck Shinawatra,politician
1676,405046796227418,Vince Cable,politician
1682,53942489961,Abubakar Bukola Saraki,politician
1684,132901686870845,Agnieszka Kołacz-Leszczyńska,politician
1689,492943270744959,Fabio Massimo Castaldo,politician
1691,518350558204805,Andrew Giles MP,politician
1692,649998731776912,Raj Grewal,politician
1695,291403617538968,Filiz Hyusmenova,politician
1705,215564686281,Pierre Moscovici,politician
1707,1516743988614092,Jaclyn Symes,politician
1708,799442966811597,Jaques Neves,politician
1714,259845400826842,Marta Rovira Vergés,politician
1716,137771616316923,Hakan Çavuşoğlu,politician
1723,457682787636207,Gerald Loacker,politician
1727,416435368432634,Dr. Christoph Bergner,politician
1732,551435991651334,Mims Davies,politician
1734,9840628750,Marko Liias,politician
1741,720196201354271,Gary Blackwood MP,politician
1752,670943056368699,Gérard Deltell,politician
1759,1635145326728265,Peter Van Loan,politician
1763,26731418715,Brian Jean,politician
1765,203206869718110,Lídice da Mata,politician
1784,241134712591508,Adam Szejnfeld,politician
1790,156632191145120,עמר בר-לב - Omer Barlev,politician
1791,155420584645794,Bonifácio Andrada,politician
1794,504410359665835,Meszerics Tamás,politician
1796,204575459552797,Chris Alexander,politician
1798,246718578693302,Dr Chris Bourke,politician
1801,263966713976008,Birgit Gerstorfer,politician
1806,612601668757620,Peter Beyer,politician
1809,1467418970166506,Anna Fotyga - Biuro Poselskie,politician
1815,70511760640,Luis G. Fortuño,politician
1822,288767761192211,Sadananda Gowda,politician
1828,144834455541025,Ramón Muchacho,politician
1829,273467342787874,Michelle Donelan MP,politician
1834,229547190392110,"Laurin Liu, Candidate NPD, RDMI",politician
1840,725624504128839,Melinda Pavey,politician
1841,524480840996168,Alfonso Elías Serrano,politician
1844,485996514776399,אלי בן דהן,politician
1850,1378861979080037,Torsten Schack Pedersen,politician
1859,25147938180,Shane Rattenbury MLA,politician
1860,162625492360,Michele Bachmann,politician
1866,705422666171288,Chris Bishop,politician
1871,667686303372704,梁耀忠 Leung Yiu Chung,politician
1872,151260125059312,Bernd Riexinger,politician
1873,1541740149408667,Dara Murphy,politician
1874,375785279198628,Maryse Gaudreault,politician
1881,532313946789323,José Airton Cirilo,politician
1882,567814099965388,Don Brown MP,politician
1885,1548351238767524,Sebastian Striegel,politician
1887,348252058621412,Klaus Adelt,politician
1893,1768312143484401,Carina Konrad,politician
1899,166383573407226,Gavin Barwell,politician
1902,588400107853314,Marco Furfaro,politician
1903,89283499523,Carola Reimann,politician
1906,297489867019788,Jackson Barreto,politician
1907,956421597763086,Erik Marquardt,politician
1909,609336902555154,Senator Jane Hume,politician
1910,470761819674131,Alex Dorow,politician
1916,122783494575650,Sushil Kumar Modi,politician
1920,7809406509,Gilles Duceppe,politician
1923,341166615893555,State Representative Toni Rose - Texas,politician
1925,351784981501494,Pepe Yunes,politician
1928,158888744130107,Hubert Aiwanger Freie Wähler Bundesvorsitzender,politician
1930,846754618770357,Dr. Thomas Schäfer,politician
1936,136286586541645,Stuart Smith MP,politician
1939,154144727963224,Fernando Martínez Maillo,politician
1940,184273968436825,Steven Blaney,politician
1948,159552364156522,Andy Slaughter,politician
1950,319331394786924,Hendrik Schmitz,politician
1951,1516688831944301,Bart Tommelein,politician
1953,555842074449519,Johannes Fechner,politician
1955,7838176883,Carol Shea-Porter,politician
1962,447992848717452,Claudia Gamon,politician
1965,518899094787741,Andrea Vallascas,politician
1967,315248185235739,Geraldo Simões,politician
1977,1488733591361823,Mike Kerrigan,politician
1985,1425092494372471,Alejandro Finocchiaro,politician
1997,775462745806585,Jim Madden - Labor for Ipswich West,politician
1999,339606729398017,Roberto Requião,politician
2008,560965564045087,José Antonio Meade,politician
2010,360162814034907,Dr. Michael von Abercron,politician
2013,261148577323313,Rebecca Harris,politician
2019,139443622778678,Troels Lund Poulsen,politician
2023,235523829798716,Wayne Easter,politician
2025,21243036640,Scott Brison,politician
2030,376475555670,Sam Singh,politician
2040,255510267954152,Louise Staley MP,politician
2043,597902120327040,"Martin Shields, Member of Parliament",politician
2044,1413508688910212,Christian Lange,politician
2045,108036102559626,Hugo Klein,politician
2051,598216760241817,Anton Hofreiter,politician
2055,122229430180,Nathalie Griesbeck,politician
2058,161674172327,Julia Gillard,politician
2060,767023836764074,Peter Rahbæk Juel,politician
2066,553734458071369,Deputado Federal Arthur Lira,politician
2074,160978464020426,Sławomir Nitras,politician
2087,180381489134,Chris Christie,politician
2089,7711496179,Irene Mathyssen,politician
2090,286890596340,Senator Richard J. Ross,politician
2092,637530099685368,Jens P. Meyer,politician
2095,1802613473351683,Dr. Christos Katzidis,politician
2104,162651190466584,Sean Casey,politician
2109,1540819302815783,Renaud Muselier,politician
2113,252104378177885,Senator Scott Tannas,politician
2118,197728634017860,Matthias Körner,politician
2122,184552804915277,Dr. Hasan Akgün,politician
2129,142587495848039,Eduardo Sciarra,politician
2131,404683979561081,Bertel Haarder,politician
2134,1489836057958537,Karsten Lauritzen,politician
2135,234185573406858,Paul Fletcher,politician
2136,562374553966735,Susanne Cichos,politician
2149,350926041651373,Dr David Gillespie MP,politician
2150,536953743022254,Hans Wilhelm Reiners,politician
2152,441295379372212,Victoria Mercado,politician
2159,369365856491724,Dirk Wiese,politician
2166,130896610334947,Kathleen Wynne,politician
2181,306352546060559,Miguel Corrêa,politician
2208,191151434373471,Senator Sue Lines,politician
2214,165988000209270,Michael Sukkar MP - Member for Deakin,politician
2223,173820092766615,Inge Hannemann,politician
2238,1605859372964304,Linda Lapointe,politician
2246,1620585748175342,Pierre Paul-Hus,politician
2247,105852816136687,Albert Steinhauser,politician
2252,219938924796414,Paulo Bauer,politician
2254,117406495021568,Francis Zammit Dimech,politician
2255,8658098691,Ken Cuccinelli,politician
2261,264331890295897,Representative Ron Simmons,politician
2263,378794368834078,João Dado,politician
2267,1021460997937707,Andy Becht,politician
2270,231164670253617,Cláudia Monteiro de Aguiar,politician
2275,490036061149758,Esben Lunde Larsen,politician
2278,340332092731147,Svenja Stadler,politician
2282,565798730143075,Jim Chalmers MP - Member for Rankin,politician
2286,123401227737699,Inácio Arruda,politician
2290,669635513096817,Waldir Maranhão,politician
2296,46508415624,Scott Taylor,politician
2299,523897671064216,Lia Quartapelle,politician
2307,130494840642224,Mette Gjerskov,politician
2309,282272406201,Jackie Walorski,politician
2315,421758451194567,Gustav Herzog MdB,politician
2317,1543010275957455,Elizabeth Truss,politician
2320,1453946004898937,Kateřina Valachová,politician
2329,1747943185455863,Tiemo Wölken,politician
2332,1427204984216317,"Gordon Hoffmann, MdL",politician
2335,111949165566730,Romário Faria,politician
2338,510567029086991,Tim Aker MEP,politician
2340,167163410062102,Ana Birchall,politician
2342,436047273138972,"Dawn Walker, MP",politician
2343,915859991829277,Thomas Roth,politician
2344,116801535089439,Leonardo Monteiro,politician
2351,827131463998258,Alex Law,politician
2352,130771133668155,許淑華,politician
2357,162701220453187,新北市議員 陳永福,politician
2374,786049671475005,Francis Drouin,politician
2378,111295601527,Mike Kelly MP,politician
2379,344704883576,Recep Tayyip Erdoğan,politician
2380,199246583438202,Luis Guillermo Solís Rivera,politician
2381,495021600550719,Francisco Floriano,politician
2385,45373922188,Osman Baydemir,politician
2386,456192634526606,Gerry Brownlee,politician
2389,144189409008536,Andrew Little,politician
2392,686333338065826,Dr. Georg Kippels MdB,politician
2393,1465267743693732,Dietrich Wersich,politician
2395,100422926670762,Jadwiga Rotnicka,politician
2398,85989071793,Eric Johnson,politician
2399,558618490903477,Arthur Oliveira Maia,politician
2403,1472286679702458,"Brenda Shanahan, Députée",politician
2406,355348224482238,Guto Bebb,politician
2407,140443376163779,Martin Stümpfig,politician
2408,329876810499233,Kate Green,politician
2412,118410851589072,Miri Regev מירי רגב,politician
2417,294493857651676,Rahul Gandhi,politician
2429,200969789971450,Dan Albas,politician
2431,331049873725952,Eva Kjer Hansen,politician
2433,125696285699,Jimmy Van Bramer,politician
2435,271052926376449,Albert Duin,politician
2437,753902134696971,Jennifer O'Connell,politician
2439,682838751730179,Sir Roger Gale,politician
2443,234991263226908,José R. Nadal Power,politician
2445,286589004749858,David Monreal Avila,politician
2449,248926662106154,Manuel Mosca,politician
2452,1501236886772782,Wellington Fagundes,politician
2455,9106562109,Stephen Harper,politician
2467,1609645495950424,James Shaw MP,politician
2468,668729169812570,Caren Lay,politician
2469,118490798169181,Nick Hækkerup,politician
2470,145118799207519,Daniela Schmitt,politician
2471,356722457844832,Rita Schwarzelühr-Sutter,politician
2482,192043290926200,Amauri Teixeira,politician
2486,286785198103686,Sógor Csaba,politician
2488,113830088678537,Rob Mitchell MP - Federal Labor Member for McEwen,politician
2492,9421528214,Russ Feingold,politician
2497,707006229322915,Jude Perera,politician
2500,189437178158253,Damian Green MP,politician
2505,671477766298810,Thomas Rachel,politician
2507,429433447128257,Dov Lipman,politician
2508,134513599913154,Enrique Alfaro Ramírez,politician
